Country,Year,CPI_Score,Rank,Region,Public_Sector_Corruption,Judicial_Corruption,Police_Corruption,Executive_Branch_Corruption,Legislative_Corruption,Bribery_Index,Business_Corruption,Health_Corruption,Education_Corruption,Media_Corruption,Political_Party_Corruption,Foreign_Influence,Corporate_Governance,Transparency_Index,Freedom_of_Press,Civil_Liberties,Democracy_Index,Human_Rights_Index,Government_Effectiveness,Regulatory_Quality,Rule_of_Law,Voice_and_Accountability,GDP_per_Capita,Unemployment_Rate,Inflation_Rate,HDI,Population,Internet_Penetration
Brazil,2010,44,40,Africa,8.194807217006218,5.731349346540705,1.6287222816434788,5.301503202879133,0.4734386454943995,9.354015272175003,3.478671326031285,6.668969533502626,3.5245398603659517,5.310673828665976,1.331082777066509,0.8438713865739544,0.7906113575608398,4.58443873302123,4.854411790872321,0.6961481338017417,6.0621812567825195,8.789696489477695,7.035023762414864,4.282384241188338,3.4408295375863975,6.690818619627146,49653,16.44572382004992,5.62371009644295,0.2572391520599261,994597070,89.55470844357654
Germany,2023,69,177,Americas,7.613886651049474,9.774742783005703,5.472927643469817,9.012659650033024,1.042064375378513,8.294224399867705,8.70133283378779,9.81256829194204,2.839524044675714,5.922245267713527,0.3711140196004237,5.979097383123252,4.654475071396726,4.326768682853378,2.792883299979554,4.195086195953886,4.100714227150027,3.9166493627480294,0.9388343603123062,0.675570854689328,1.0337828994348819,8.134613186571091,9221,4.05762886622939,14.598099138820825,0.39137685663080646,1044294120,72.43483778626634
Brazil,2020,54,85,Africa,9.879753209773703,2.36933349171745,6.307535029814309,6.361448084392319,1.4229757879798421,7.275414141557469,9.007147634467724,0.22384429137610296,6.4683154283714455,8.235393905554421,4.268002874401635,9.295326351690807,9.787887189992365,3.964148710160702,1.5509701036741752,6.636775946677083,6.540657612791682,7.411759743068208,2.1050132582099437,8.459017310523642,7.689820530555985,9.358695517375788,56854,8.226763215914625,9.610194785907375,0.35793249738032307,593412215,75.3018353179616
India,2003,55,57,Africa,0.08084676530010881,3.553361493551519,9.575425574470728,5.36688411862773,0.019157061789990548,1.5012039581332148,3.259904573935206,9.658941987618162,6.359141105424049,2.98934638579333,1.6035652342331974,0.6242292870544397,2.4687791143366256,8.861781368259887,5.618184647450789,0.04968896840287784,8.213697032066303,1.727521445584499,9.582141976978276,9.783668482288107,1.6316830349825295,1.3834248808837912,48577,16.03359254146103,13.791190676447652,0.4684331185252234,554496491,8.400014590031546
UK,2007,81,87,Asia,4.37489440863133,2.565732259900467,3.7734845663981256,7.491485236809293,1.5325221584365345,3.489998922525881,0.9202769616671347,0.18404728943539617,1.1246803890421464,2.561613842038094,5.48933816478367,3.83104877158385,4.109524131251248,2.5101715852591933,4.248566008764517,4.890328571131524,5.416457228337164,8.613503669662569,3.621505481403684,2.0973252726833036,7.017545383655306,7.528386710181165,5357,2.3345145504604203,1.3101556973606998,0.11276785767485153,658510699,0.38209194815078673
South Africa,2023,64,84,Oceania,2.560444863761279,2.664598216464947,6.182003428645584,2.3509711527075225,5.772786803783746,5.652868883480303,2.1015823400717704,8.411494584590626,9.267587847007853,7.958088478426211,4.536419495792621,3.2794579296305293,6.414195130842409,8.57364172160031,3.9737600382207763,8.065316997516476,3.039543000081789,4.291703922120806,0.5680181725648092,6.219556019838013,2.325074741830737,1.5456346182047997,64838,12.392405244434542,8.363886116520543,0.1508687197221249,1135822420,95.56195752960936
Brazil,2002,95,121,Asia,1.198933871448734,4.041921341866806,8.781810458043095,8.783774196955994,8.195231220959364,0.7686077937838953,4.743929207350639,9.612444196591092,4.790561553711599,7.1871857066109515,1.2209762290148962,3.4420877387265714,3.51063823008423,0.8910348758917142,3.4940718976595186,0.5087164947182843,0.9015067040777136,2.0885724228241145,5.2119811475728675,5.365697334274127,6.82108934317163,5.156344706119111,4054,18.81026195664253,13.62672075805162,0.3784358927569784,999743958,25.202838288283445
France,2021,94,74,Americas,9.115153281671846,7.018555106506201,4.4995378578085,5.314152404080543,1.9342995940806984,1.0627021413578486,2.8848104223372784,9.930273822719167,7.64416414690595,2.256149378422838,6.657850469450207,6.003114654119203,0.03629750059712,9.553280368375246,6.716122158875802,3.405468792833777,2.8870083180986916,5.7244919695367,2.0641342034568355,8.964951500925023,9.718729545875098,7.270085910480634,10201,9.085755787262887,9.761963093073474,0.5619481498264425,489968176,16.509904121465823
USA,2020,35,107,Asia,9.979620660956863,0.3880452403094514,1.2234575115732604,6.034992949717008,0.8087260384750028,9.3425392201115,4.53472237531545,4.591213409705521,3.5931767618356947,0.008363563755651171,0.20494788720483825,2.621030954620509,3.9621713472014886,5.030157558474353,5.189964368875862,4.009183198856964,3.6465244404546726,2.881613577566091,4.263291953214944,7.0410176293405655,5.096975509542966,5.203694601137206,18729,4.802595055583732,14.823177602997475,0.6179462732146496,678317255,15.871797752815697
India,2001,94,124,Europe,1.8059620790472364,9.571241956855602,3.774472858299742,0.899438712548345,7.295141984358722,7.026911932759836,7.587034997208725,8.669575062502107,2.615366419557754,6.659363177566822,1.263833066704847,0.27322957284606764,8.046414374683287,9.989052048916605,5.372386573827484,7.162847808443481,6.412740189397398,2.870502347775852,1.0165796913013803,7.496618711162738,3.1891264401253174,4.725482437703967,3975,18.864017712899045,14.936267057633701,0.9103845606834006,683520964,73.7891042576622
India,2023,34,100,Africa,0.384333928013636,0.462798794892475,1.365669267033004,3.095089587622316,0.08162711457216032,2.7508704605127554,4.2063843377568855,1.2233954302960504,1.1127189608580224,1.5717802690573723,7.001642208446736,9.622750364419149,9.439599618845486,6.079339401022203,3.081248012599308,2.9571896991499425,3.883519315795161,1.1454538232669553,0.9596888961990524,9.519042054819648,3.7797495128571565,2.833549546598302,35448,1.0836947389907237,11.880562112017932,0.5689174075005099,905329704,4.639855387350034
Japan,2011,74,43,Oceania,2.7505444768050036,8.812531819445597,0.16639464201950283,4.267353366720945,7.341621020363812,3.273603097613478,1.9699745620793863,4.253843386142614,2.7451871476296064,9.569962818093948,5.278554197864542,7.487759857650342,2.750907960262797,1.176020716516556,6.136509783724245,2.4626776219600064,4.027019359215107,2.1389755720143144,5.041429999663,6.634765913966923,3.8392399080348882,7.680320827428763,57136,6.23195191257744,4.181485470503878,0.7297903930205546,49987462,66.1023667484207
Brazil,2005,15,119,Americas,8.348619180663956,8.94378098761999,7.5155305634902625,4.1390952343601946,1.3111723586688129,3.844293042801694,3.5796764058493236,3.079749761830265,9.934311455262963,6.0440728339539564,2.819329678209285,1.3512759223567394,9.216456421852527,0.608916865448017,4.035160744802285,1.1550388204723228,2.9049146623336455,7.9786350174110074,3.3587727686834636,4.535575887028792,1.2533241881133617,0.8939395306103526,68875,16.34670741407952,12.80340280569527,0.48172156398909294,1097949695,57.145905373669706
Japan,2001,32,23,Africa,2.9389008319931675,5.244891875915233,2.3842370049535555,7.782843661784579,2.2828506211940347,0.7507129257871692,7.429812181485332,3.951770506070785,6.579601838833138,8.496518215238376,1.8024613066386863,4.551568535095953,8.671485534646573,1.934188395150419,7.694799397695588,9.958795293501897,3.6288296668778584,5.2357857037662905,1.5527032016975717,0.5190607086947263,8.18795103850014,2.3172344108590472,67294,3.078729096680979,10.552537551545086,0.5233627848755282,1390897299,14.73017657173925
Japan,2020,73,155,Asia,0.5690148049762156,1.3699682861896745,0.02007045838974042,2.82322397490008,1.2006991088802954,7.391769987144281,4.2406212021377785,7.019808522643922,8.027823300425695,8.056215182520912,6.422837302255665,0.6272173321234975,4.067238427989017,4.211489268223644,5.295305547259427,4.716661889121392,2.6602764693774006,3.5493957840186163,5.803710313703139,9.063641974055201,3.792315934557812,0.4518339218102241,47731,1.6816767253611364,1.5951053932892116,0.5899239159022972,64421170,13.544715996253121
USA,2000,96,37,Europe,0.524921839530299,5.651459705569438,8.72432357535145,1.8210926234306601,2.4733815705139452,1.7683401209120564,2.495378529710386,0.8748020004275525,9.585091285534839,5.577977246769958,2.0559666499688123,0.2785633139749466,0.04677816195338136,7.471896473783364,2.8945250078494555,0.4821175871153449,7.341289419869784,9.293731310018725,0.6219212331715074,5.897273625500128,7.178939188958512,1.7709178255335034,48690,9.160134644687425,5.815164504662343,0.5221362242019405,22021716,13.266024077340887
Germany,2011,52,134,Asia,4.274228023694365,6.286321599028497,4.4378883849090585,5.826172514622532,7.981759384617949,8.0512002482071,4.274116392073318,9.981639603286299,0.7899135179591732,4.3835071361757985,9.846110797465622,0.4751173143431442,8.44875928056857,0.007147951285395582,1.477296668168201,0.7653294591352999,9.829615407583645,7.97387566819039,7.527388363893365,6.823163798228023,2.7037972931762,4.076478397101134,17227,6.635428499808396,13.117659854107682,0.3094319190167514,351285282,25.95183761165194
Brazil,2021,32,65,Africa,9.318257230616197,8.577589578071112,2.3885987963322517,6.150148583670825,1.3254410512507575,8.458724297769336,4.5480668768265975,6.350671590369197,1.646944257349936,4.96798408095859,8.693112208421939,7.557777324797097,2.8677253075209928,2.5734677814773987,6.999359987601517,1.2795413065131878,7.3464627684120485,3.102721654236784,0.5133812838319862,5.052970388955752,3.564029291669726,0.29781433877515306,4194,15.943185860260431,10.616439431792676,0.9773190343666446,966759415,64.17893724795566
China,2011,39,134,Americas,2.8592044163963193,5.508953757695697,2.6278997235541923,1.2158330708624088,9.941656322935339,6.384341774274641,2.9637720477704823,8.73517586572262,9.279656919942846,8.029887404568788,1.3215794981757778,4.449239572671184,7.558865739767074,5.875699517213903,3.711057013203829,2.117444345302546,0.7362893222234645,1.1073255131141757,9.703710488428246,3.9362322518478043,8.86904384653678,2.2686882322277158,46351,6.742893383033248,6.410416272149156,0.6187356304953433,906359508,20.688755677075843
South Africa,2016,86,178,Oceania,4.271576807010438,4.107093959033382,2.4053789330505024,0.024685029859959906,3.270977760977919,7.698549433989132,9.956850891930388,8.29695565238779,5.645536816599477,6.4045070554500185,8.591525629438816,8.443969152012444,5.715145526532269,2.9788336322312525,0.6551118451403692,7.404252520578076,6.327085726522139,1.8434181273213013,7.356247192968999,5.0388746418637345,4.2495359193786,0.4067964212564923,12143,13.39650197756685,9.195044335815771,0.34613731506105616,904899908,66.00750089745291
Japan,2009,27,22,Africa,1.0193380538260854,8.382911938541138,1.94556161189272,9.176490800218588,9.21968125508329,1.7183516668604337,7.676260188886573,7.659975440388064,6.348492054058439,2.0571718100825462,3.450427817079915,3.0521510407438166,2.216645216827885,3.5694364339402016,9.149187020751459,5.586882093303114,7.028940514258462,6.75168617839342,8.97212682624159,0.4850395244600436,3.5318398068333003,8.757401951543752,68718,11.203886839893837,14.051678619466125,0.7986182782596194,565195268,97.17039244989131
UK,2015,96,105,Americas,4.935727932689811,9.809517973526189,8.412262245742964,0.7963699711333405,1.9003307983554663,5.759389826706368,6.9245498695409315,0.3922353112408272,4.27634282386395,6.093551196655884,4.899818202117401,7.753217379652472,6.482116909890477,3.007635729300311,3.866452310005817,7.766594183238409,7.7824461855757,5.630666915557965,4.39949083260533,7.979123999057497,3.136598871619655,8.899904876198935,14584,11.93986010195681,8.964313434855834,0.1637680781593882,262531941,86.20969006082679
Russia,2014,88,88,Africa,6.96547064285704,6.4510320515793325,1.7033163436986953,8.978669319420002,1.8789751994440174,6.767993144461313,8.548669845701442,5.1646707658354005,8.144287347895308,4.046665789361159,1.4282429515236694,0.7793455795010207,7.6484023249397755,9.531829192398371,7.459432591541501,0.1981822435856173,7.626863091512633,9.807777006174447,0.5808103976039847,1.579706495705332,8.929358224613349,6.985268614404916,38402,10.222832799769288,3.415105231263988,0.9925239736094943,760630989,79.80781510782496
UK,2014,30,153,Europe,2.711503611772196,8.743870373028095,5.6185468387939865,3.992148743864111,5.653356830430738,6.615605808542778,6.66419195765446,3.2814837621450677,5.1724421517008405,0.6129750728424588,1.1857224130513189,6.351081576216695,4.744451577070307,0.6583317672755962,4.589151880072285,2.6511597772978623,5.083883519006137,0.13493982667112547,2.2944010621606328,3.326622876911528,4.22840318321319,5.945078398588447,32804,2.7092150503804513,10.040451444305791,0.7888001111842514,196129392,94.91358298450514
USA,2018,66,125,Asia,2.9671130852868477,5.987351128290642,0.7732024467218734,6.53055907995067,0.5060008490467793,1.1728987764318077,7.909803430551121,1.1293911582184024,8.261294583193301,3.81269193769577,8.654929660622834,3.6060191357935123,7.479102774734984,9.075112422585159,8.909260891772126,4.0552562616908645,2.6242261423103597,8.76793257064984,9.710949652650104,0.8699464731476125,8.771360556296212,7.958423645874939,8439,1.2406774529870401,3.992890051551689,0.09747790953578828,332819637,61.24718232849049
USA,2011,32,79,Oceania,8.419750254062713,6.897879914103057,9.495213761786003,1.8561469070639625,8.010028976355928,3.4438246248003814,4.12525644518723,3.429902064199032,9.921866035790416,2.276015312287256,6.299022410336987,2.7672492660061265,4.049718380013692,3.232391753248518,0.2907224700634814,4.290137326810319,1.205913051659272,0.14269209487210555,6.188915822336543,8.199463476796502,3.0028884565385514,2.814496015331259,38781,10.877968532884953,9.285231764934213,0.8482710256444405,1242404318,76.88636548392665
France,2022,54,90,Americas,0.10363722347177085,6.881671175489188,6.033139044459218,8.23917027827489,4.396152506680538,3.2503752148233653,5.0037176990932775,6.448030373081823,6.4672678426976224,8.385845337841682,4.604610100167795,8.15109094150626,9.802515720532957,2.4654664211488244,2.594068210403001,0.5356011724834908,0.08372597256876779,4.247592313368341,2.2787166282460136,1.683437835187478,9.783036202495957,7.420273486952434,35615,12.988476166842274,9.668529764569408,0.2585676512301551,1197620747,77.3927046272619
Germany,2019,53,51,Oceania,6.36470708550097,7.047869868402653,9.031525112022932,1.801933868998743,6.991964733528545,5.725268725969084,0.46996383302849387,2.306264286221442,5.288135838346975,1.0499946192264253,0.36163856373495507,0.5192211960577486,2.398085055124639,8.83268534593471,5.457759594936377,5.115203222298835,0.015173220958705214,9.165887031995457,4.828175860484182,3.9891943175301616,5.027998779101407,3.3018547685682575,26944,14.506570226466433,5.423027784211542,0.6378265497076849,1365018593,97.45400182962763
South Africa,2002,91,176,Oceania,3.9388463494161696,3.2101344392863362,3.9787777947549516,3.865091483149067,1.7463220349601938,7.652371288677532,2.8064639140881575,4.445954292225462,3.651578542652266,3.606234493034256,9.21961987242839,9.495314606862237,7.77854712446648,2.870844261180332,3.232291240730566,2.86623541423498,9.362067670252092,6.58415408989976,3.174413613165429,4.154774616838612,1.6462122157061998,4.429324040974013,66199,14.442813457347762,11.110161948568487,0.16513991218921553,1261520639,64.71765107445452
Japan,2004,97,102,Oceania,2.98380513561469,5.756613962717124,8.106720567624114,2.380257794808264,6.423573507861904,5.705903661702138,3.68012409233316,4.044942436286503,1.946964424786476,6.954919813077453,3.7608822713262913,7.8554556586246,7.496020570575452,9.874835094958554,7.426885536545706,1.914730871516792,6.079540266315794,5.832996696032041,4.897177445827449,3.164262646206335,4.240703170401527,9.800616130476863,62835,14.806235440673834,4.393646672051413,0.7107546078864891,618614070,27.305637389436555
UK,2018,56,106,Americas,6.5759383224387715,5.941355839737954,8.536544794493112,8.375059576869369,5.940706543516936,7.5482743865165425,6.2547022541932975,0.5246296280641116,6.566577875555714,8.973919177403024,4.166491705971155,3.5560927392722483,5.294429025956713,5.480877178049088,6.8841814508494785,6.711615394502296,5.741961453635136,3.134993056772424,8.36624154489657,8.601253422962108,6.817676726276226,8.458338454376994,67502,0.4064402972242642,0.22085652123329136,0.7573827219024654,439315887,19.567392913048376
Russia,2006,49,60,Americas,8.346685217897052,3.15071626713232,7.029492911786699,8.583358136488794,7.5566125191794375,0.9896759669900812,4.642112847939034,6.280825293828007,0.6263719169754423,3.3531671005831654,2.898095293912031,9.913329914545175,3.5033826092312625,4.763719727286518,0.2552430257967253,0.8384953069498546,3.766574830700379,9.661275101240122,2.2255549082808046,7.71781779897129,8.878305099039626,4.1865947648582305,38035,4.469957900539397,5.259750865202262,0.8515788076283344,523869996,30.669434745095547
USA,2020,60,46,Oceania,5.583921163286737,3.498523677036637,0.9294746645370633,3.7202888937023126,2.974012926509706,8.781386908672774,6.078382624232994,6.188469022925339,9.5628758533424,6.06438525799315,8.912900198940818,2.024892391177028,4.457599280477062,9.764870876154712,6.0051300032853465,8.670076083764831,7.985264471041899,1.6822455629927224,3.9908803307029785,7.436777585421312,1.2708568501258077,9.05035201283192,5984,14.591824595248752,12.934502153278851,0.4878024956299887,762649246,76.1753090557329
USA,2008,51,36,Asia,0.3109462194305601,7.622467650167147,0.1608008640590597,3.0737847100427365,9.331655749715091,5.366170693642597,7.133273345138818,9.664145052470047,6.4755520550422885,3.736495900698219,3.4458476871785626,4.024140132931634,6.294874280906878,2.2676686835533366,8.35886391510522,8.998253439270215,2.201797546171529,2.698875219266492,4.4608998439304575,2.251170349189122,5.584442739313834,0.9728252823500583,12760,2.471635551857887,8.652926710942562,0.5534602052319867,897909119,65.65535234422632
Germany,2006,16,166,Africa,4.614011908255761,5.827238406172492,1.685596720562218,7.735653751951652,9.61301069395732,0.37498660467172873,0.4271866766767052,2.9800521663147705,9.593627732679462,2.028811353818909,1.742493078588132,8.848795362927627,5.303496335753262,9.089693290910626,3.1562200767332147,3.255364718635172,7.380807811410229,4.529557303909534,5.870534310999545,1.8951977335752268,5.326474779550196,9.02892334659278,40500,3.7316154798007095,12.740576393763158,0.21500432373567013,475617356,21.925386374973254
Russia,2017,59,11,Oceania,4.627599408939731,1.4921114796316859,1.1809675696667843,8.785119718112512,8.681236112213547,6.432130030224263,2.582777470036145,4.18951028642021,2.722745102959424,3.257178009813554,5.005571949244447,9.968070848025267,7.615401602971421,5.915246044711628,1.3935894571739993,9.868996362605476,3.627969166103968,1.2629915562314353,0.7772850756988536,2.465940519224221,3.283686294057838,8.892827965614398,26309,13.192043244284653,1.9289973146625035,0.5156966252178513,811517753,85.98315957816315
Russia,2003,57,12,Europe,5.437984948046078,8.376369886828723,7.251376641998437,6.240199941140638,5.720337661605418,5.173471873630755,1.7090387254473238,4.036376223494131,9.465158139508883,6.359021632313065,7.8149265930611955,2.39112821344569,3.6068180476023315,7.549677109588644,7.382970866833821,4.012666476119675,7.077578907513518,4.2354725959242305,2.07011586202971,3.8616225322096733,4.085803459141477,6.467917373666465,64716,16.163560675250814,2.8948460994205636,0.5318231698329693,565765834,98.13344772652226
Germany,2013,93,170,Oceania,6.709589010435523,8.831142870743196,5.570068206893427,9.274036757291032,4.202882706613505,2.2036956884856496,1.8745511917097124,9.197439009857787,6.121251421870971,7.163393386122835,3.7133847634478823,7.431134063733414,1.0724503497735327,5.820342976481082,9.004274614130685,9.62315307603051,7.063954066044782,0.3934297544171994,3.978326854501498,4.787565854494193,3.0460772876658293,3.246916741965742,23874,3.2496317273671105,2.469295850974615,0.8092320959505409,1349885294,75.72103750855042
USA,2017,15,39,Americas,0.19318403534340445,4.661411479578142,5.259508645456058,3.8304381285008358,0.5799241856995485,7.644254586113547,5.031253956319915,4.0864931538927145,8.102639661526222,3.7060560546871866,6.520461428763737,3.057293306355545,5.0559525200523145,6.186484642645507,6.569042218986958,9.868784389891038,3.1530572251243063,9.241187655709059,8.09340715728925,2.501735650657876,3.0239785171239086,8.221934646644172,35996,11.01655067038835,11.776904514548331,0.7112326005426564,530283835,6.210487017920851
South Africa,2008,18,139,Africa,5.020126243997504,2.0890743202292694,2.5286730032814053,1.5188640201736225,9.472278014609897,9.335682512079801,7.399787764999253,4.427641442059587,1.7892330271436996,1.525320491849862,3.0422430310728577,7.66472670713606,2.590117558150695,1.5492139689513729,8.460436542514373,8.269102181159951,9.342568887076437,3.221391360087247,1.8684209487281633,4.57762067937759,5.333742194344929,2.7216824350464943,17180,3.6268860134905,9.182904654450876,0.6982899798540187,359834736,62.754360212267
Brazil,2020,66,36,Europe,5.883077693805907,9.476064954049052,1.5460753673704164,1.7964298231704134,9.517813436983669,3.2268345384350585,2.727770339253773,2.5234453419174674,5.001103714578225,1.395575123558721,7.197623099699465,1.2528401480024576,6.166380812205617,1.5166262981687728,9.986650042361246,1.2483073121268196,5.0766194417843336,6.338025817417547,8.815237905292566,1.8438148908909657,0.60051250535606,1.4217716958103221,69117,4.171812006761839,5.046052945121829,0.029655772971310168,1396065790,93.76917664148549
Brazil,2001,40,52,Africa,3.4335338641605198,8.822695645195763,2.065479697688959,6.6983195229722,0.18688454979683855,4.93915682816369,8.244492381357123,0.011681464240477224,5.689603660861363,8.126140995632639,6.687238735834194,3.3616993377456583,5.203229154039972,3.9715700385147423,4.993860874191258,5.8441927815081485,2.5773541292633517,8.705270718209084,3.391640095169326,2.6895126726813787,4.813211827505287,5.51195730590837,51816,9.639501005849638,11.709736228429861,0.5463509933674292,515937499,31.296380038407523
Germany,2019,30,31,Africa,6.683652265904331,2.443817463418385,4.002770074144801,4.075264230786165,3.568875466407201,1.2817499869842908,8.924565172085739,1.1045067137536746,3.928544248202388,6.532735209589216,6.807548014226098,0.7499958555448338,7.787485664991051,3.4638924034035523,9.352887087793384,7.319201252561469,6.7379322474277545,8.183262065130933,2.5383934780081177,2.6074288639031074,3.243024492903782,1.2881497931543362,67959,13.477473547829515,6.53084474910751,0.9926735505996984,357552260,58.543099605105084
Russia,2014,99,33,Europe,2.2817771712917114,0.9559373630269741,7.401432067609529,1.5631459834181771,8.800363682582619,9.297997237048161,3.5053387202035236,7.0388915142730895,2.5323273521807987,7.280308066304503,6.4590764259402516,4.918969202402877,5.7522722236743595,7.120604479580851,3.44362186081539,0.7746451714185365,7.508645355482266,8.733907755374583,4.09382298076006,7.271191398173134,4.6437781557874045,3.5738239339425837,47263,11.483765935959966,9.234036289710739,0.7522157626029262,618685103,22.698481607237742
Japan,2006,49,141,Oceania,3.173723330674516,4.406536075491068,2.5451661653646998,2.9222685490360787,0.808520330396183,3.1879605961923296,6.813565389542252,6.824955933756427,9.047747414997827,4.882542176322192,1.5631233319089832,7.015005527537481,4.30759541221993,7.227603781623087,7.45648446556841,8.936418764310428,9.506843156273243,7.203086490188598,5.5370774165694705,4.584952178625519,9.749840480062346,5.79761074992125,60078,1.848459331021921,12.820641653034903,0.8348187892230998,1184219107,88.06863471309964
Germany,2011,54,146,Oceania,9.62755347424326,6.763969864937396,6.986130012587202,5.306050720327486,1.9656637671020738,1.9478468369952584,1.1704929408510811,3.2253057284487108,0.8505888160508568,4.573197809535305,8.879909846749085,3.7861608832173643,1.1985599882255715,5.637920397428018,9.01466142338933,8.518046221439482,0.7327382332903354,1.9374383222133496,7.339741540229049,6.152169284706156,7.412598412865537,2.0755113571690353,66713,5.71122071244595,6.378722433702554,0.4935781831466346,1139526986,86.99807791477184
